ADANIPOWER,2017: ROCE differs from source by >5%; category=version difference; computed=4.170571696344892; source=32.2
ADANIPOWER,2017: ROE differs from source by >5%; category=data source issue; computed=-205.79999999999998; source=57.1
ADANIPOWER,2018: ROCE differs from source by >5%; category=version difference; computed=11.52185243094334; source=32.2
ADANIPOWER,2018: ROE differs from source by >5%; category=data source issue; computed=-236.55793025871765; source=57.1
ADANIPOWER,2019: ROCE differs from source by >5%; category=version difference; computed=13.58699627002121; source=32.2
ADANIPOWER,2019: ROE differs from source by >5%; category=data source issue; computed=-12.759336099585061; source=57.1
ADANIPOWER,2020: ROCE differs from source by >5%; category=version difference; computed=9.820038910505836; source=32.2
ADANIPOWER,2020: ROE differs from source by >5%; category=data source issue; computed=-35.102607622280516; source=57.1
ADANIPOWER,2021: ROCE differs from source by >5%; category=version difference; computed=16.146087274500243; source=32.2
ADANIPOWER,2021: ROE differs from source by >5%; category=data source issue; computed=9.685045374818882; source=57.1
ADANIPOWER,2022: ROCE differs from source by >5%; category=version difference; computed=20.397325522913523; source=32.2
ADANIPOWER,2022: ROE differs from source by >5%; category=data source issue; computed=26.613209080565635; source=57.1
ADANIPOWER,2023: ROCE differs from source by >5%; category=version difference; computed=19.815578877412566; source=32.2
ADANIPOWER,2023: ROE differs from source by >5%; category=data source issue; computed=35.90507430713616; source=57.1
ADANIPOWER,2024: ROE differs from source by >5%; category=data source issue; computed=37.22522071701755; source=57.1
AMBUJACEM,2012: ROCE differs from source by >5%; category=version difference; computed=28.70046291069211; source=12.8
AMBUJACEM,2012: ROE differs from source by >5%; category=data source issue; computed=14.686825053995682; source=9.24
AMBUJACEM,2013: ROCE differs from source by >5%; category=version difference; computed=21.650893796004205; source=12.8
AMBUJACEM,2014: ROCE differs from source by >5%; category=version difference; computed=23.28780680918448; source=12.8
AMBUJACEM,2014: ROE differs from source by >5%; category=data source issue; computed=14.766633565044687; source=9.24
AMBUJACEM,2015: ROCE differs from source by >5%; category=version difference; computed=18.3873471764021; source=12.8
AMBUJACEM,2016: ROCE differs from source by >5%; category=version difference; computed=18.24685138539043; source=12.8
AMBUJACEM,2017: ROCE differs from source by >5%; category=version difference; computed=20.259953614224973; source=12.8
AMBUJACEM,2018: ROCE differs from source by >5%; category=version difference; computed=18.93351182507809; source=12.8
AMBUJACEM,2019: ROCE differs from source by >5%; category=version difference; computed=21.55147394170571; source=12.8
AMBUJACEM,2020: ROCE differs from source by >5%; category=version difference; computed=22.791458584467023; source=12.8
